time;observations
0.0;0.0
0.0002;-0.0013482137366998576
0.0004;-0.0036151753937293876
0.0006;-0.002203193976633312
0.0008;-0.001961211289861177
0.001;-0.001639185208439992
0.0012;-0.0020372375513379895
0.0014;-0.0021389395715014207
0.0016;-0.00490740635157535
0.0018;-0.003995655915875137
0.002;-0.005580007545451713
0.0022;-0.00692921701072006
0.0024;-0.005650607410682171
0.0026;-0.004875082967224435
0.0028;-0.0041610399510872975
0.003;-0.0046128210058471964
0.0032;-0.003998556500421187
0.0034;-0.005353297739896442
0.0036;-0.004994714037741515
0.0038;-0.005711254105244823
0.004;-0.005264372311584525
0.0042;-0.007506853684984521
0.0044;-0.007759887317761677
0.0046;-0.007527438567594833
0.0048;-0.004296780100748138
0.005;-0.0031927630542761005
0.0052;-0.005351903343186255
0.0054;-0.005650380774621025
0.0056;-0.007024995532954674
0.0058;-0.0054321498564789935
0.006;-0.0077496003574508135
0.0062;-0.009448068364279166
0.0064;-0.007425265479055203
0.0066;-0.00804190021324028
0.0068;-0.007790415469186997
0.007;-0.00712555804755158
0.0072;-0.005338366758882733
0.0074;-0.005305747613335102
0.0076;-0.005611672129927893
0.0078;-0.006507285727063263
0.008;-0.0064924956801628315
0.0082;-0.008117536479067064
0.0084;-0.007177268577585875
0.0086;-0.007673157159914189
0.0088;-0.00805173725115292
0.009;-0.007787299571241461
0.0092;-0.007726335838586016
0.0094;-0.00812202573811468
0.0096;-0.005886787178918138
0.0098;-0.0045692065360624845
0.01;-0.0025887354033708523
0.0102;-0.004743413649686619
0.0104;-0.002985926876800249
0.0106;-0.0028309660666815503
0.0108;-0.002526620724891569
0.011;-0.0026098705451167875
0.0112;-0.002042091702876749
0.0114;-0.0036435752532406602
0.0116;-0.002737028679135665
0.0118;-0.0034682190567273067
0.012;-0.006429557812588922
0.0122;-0.004644006175029235
0.0124;-0.0037408020859703867
0.0126;-0.004513738374735031
0.0128;-0.0048177423658779155
0.013;-0.0031450923645264146
0.0132;-0.0035484802948633648
0.0134;-0.00235598865728129
0.0136;-0.0021635800228516503
0.0138;-0.002053997795979343
0.014;-0.0021239156293855173
0.0142;-0.003159288114030179
0.0144;-0.003202656433526398
0.0146;-0.004395018263647412
0.0148;-0.003927603577831397
0.015;-0.003961018473854923
0.0152;-0.003972351685167455
0.0154;-0.0026277614955077973
0.0156;-0.0019315876361333632
0.0158;-0.002279267199744517
0.016;-0.0015012896935243782
0.0162;-0.0020090235671181046
0.0164;-0.001748473765080483
0.0166;-0.0024096483937341116
0.0168;-0.0023775616071194127
0.017;-0.0020818253386367023
0.0172;-0.0009840870982195274
0.0174;0.0012081344667898594
0.0176;0.0020870980403083737
0.0178;0.00033080355664389836
0.018;0.00026632113338664014
0.0182;-0.0009662988312131083
0.0184;-0.0018297317108013009
0.0186;-0.002067057124820609
0.0188;-0.0015972825332191895
0.019;-0.0023204133903896697
0.0192;-0.00258315510791578
0.0194;-0.0009672343858955449
0.0196;0.000283906618688465
0.0198;0.001835538067801354
0.02;0.00037578501834068526
0.0202;0.0013141622436560888
0.0204;0.003322347946846965
0.0206;0.0025144153286476146
0.0208;0.0052206615630833
0.021;0.0026621221619108843
0.0212;0.0026176309034266743
0.0214;0.0045207480811251645
0.0216;0.004481655254051936
0.0218;0.004803608599769486
0.022;0.006518345502953652
0.0222;0.0062896600760935385
0.0224;0.00398531299903729
0.0226;0.0011814933089062574
0.0228;0.004239843623377658
0.023;0.0028899980381428946
0.0232;0.003995522460930353
0.0234;0.0061254351914269214
0.0236;0.00725122769066747
0.0238;0.00549062463499901
0.024;0.005733915895350528
0.0242;0.0021970662070211764
0.0244;0.0030053393437771015
0.0246;0.0035811863161914364
0.0248;0.0025287187685714627
0.025;0.0028708324693366327
0.0252;0.005521608004328924
0.0254;0.00554767730172723
0.0256;0.004690970287278062
0.0258;0.003661512933045518
0.026;0.002208117340726815
0.0262;0.0016732931235113144
0.0264;0.0017544092924235786
0.0266;0.0016700274331287502
0.0268;0.000531076548596166
0.027;0.0014270843585708578
0.0272;0.00012133943486269013
0.0274;0.001955147316913472
0.0276;0.0001699414197795058
0.0278;0.0005961693219208695
0.028;-0.0006513517421194699
0.0282;-0.0026526975501168534
0.0284;-0.002046713508804077
0.0286;-0.0010465614441645377
0.0288;-0.0022584702776067577
0.029;-0.003262315489293904
0.0292;-0.0033486319125210677
0.0294;-0.0019411764781614627
0.0296;-0.001410406557031326
0.0298;-0.002734021410956789
0.03;-0.00042193993810671733
0.0302;-0.0007531242888833133
0.0304;0.000512119289294106
0.0306;0.002152173082965001
0.0308;0.0033359438108505994
0.031;0.0028886449915602286
0.0312;0.0025177079050283627
0.0314;0.005263300759786696
0.0316;0.006678642133930804
0.0318;0.005871513575505801
0.032;0.007223677833380897
0.0322;0.00814143166408271
0.0324;0.009640208924546888
0.0326;0.010294073887225074
0.0328;0.009850421872432987
0.033;0.008267523548623984
0.0332;0.007098775116638655
0.0334;0.005965287536702424
0.0336;0.002398874223594476
0.0338;-0.00036831113822521845
0.034;-0.0015664174168171963
